Domain,Condition,Method,Segment_Count,Average_Length,Over_Segmentation_Rate,Under_Segmentation_Rate,Temporal_Error,Statistical_Significance,Execution_Time,Domain_Variance,Domain_Volatility,Domain_CV
natural_language_processing,Fixed_Low,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.04427194595336914,0,0,0
natural_language_processing,Fixed_Medium,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.020704030990600586,0,0,0
natural_language_processing,Fixed_High,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.042717933654785156,0,0,0
natural_language_processing,Adaptive_Standard,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.020621061325073242,0,0,0
natural_language_processing,Adaptive_Conservative,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.018989086151123047,0,0,0
natural_language_processing,Adaptive_Sensitive,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.04195380210876465,0,0,0
deep_learning,Fixed_Low,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.02749490737915039,0,0,0
deep_learning,Fixed_Medium,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.047779083251953125,0,0,0
deep_learning,Fixed_High,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.026025056838989258,0,0,0
deep_learning,Adaptive_Standard,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.046185970306396484,0,0,0
deep_learning,Adaptive_Conservative,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.026314973831176758,0,0,0
deep_learning,Adaptive_Sensitive,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.045436859130859375,0,0,0
computer_vision,Fixed_Low,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.023119211196899414,0,0,0
computer_vision,Fixed_Medium,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.02155327796936035,0,0,0
computer_vision,Fixed_High,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.04307699203491211,0,0,0
computer_vision,Adaptive_Standard,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.021530866622924805,0,0,0
computer_vision,Adaptive_Conservative,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.04210305213928223,0,0,0
computer_vision,Adaptive_Sensitive,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.02237081527709961,0,0,0
machine_learning,Fixed_Low,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.02185797691345215,0,0,0
machine_learning,Fixed_Medium,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.039602041244506836,0,0,0
machine_learning,Fixed_High,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.021212100982666016,0,0,0
machine_learning,Adaptive_Standard,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.023153066635131836,0,0,0
machine_learning,Adaptive_Conservative,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.046048879623413086,0,0,0
machine_learning,Adaptive_Sensitive,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.020746946334838867,0,0,0
machine_translation,Fixed_Low,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.007977962493896484,0,0,0
machine_translation,Fixed_Medium,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.007021188735961914,0,0,0
machine_translation,Fixed_High,Fixed,0,0.0,0.0,0.0,999.0,0.0,0.006905794143676758,0,0,0
machine_translation,Adaptive_Standard,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.028073787689208984,0,0,0
machine_translation,Adaptive_Conservative,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.006803274154663086,0,0,0
machine_translation,Adaptive_Sensitive,Adaptive,0,0.0,0.0,0.0,999.0,0.0,0.008215188980102539,0,0,0
