Domain,Condition,Raw_Signals,Validated_Signals,Paradigm_Signals,Segment_Count,Statistical_Significance,Detected_Years,Confidence_Scores,Signal_Types,Execution_Time
natural_language_processing,Citation_Only,1,1,1,5,0.5049700615538575,[2013],[1.0],['validated_citation_disruption'],0.06940984725952148
natural_language_processing,Direction_Only,6,6,6,5,0.5049700615538575,"[1994, 1996, 1998, 2000, 2004, 2010]","[0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975, 0.4043154039624057]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.041008949279785156
natural_language_processing,Citation_Direction,7,7,7,5,0.5049700615538575,"[2013, 1994, 1996, 1998, 2000, 2004, 2010]","[1.0, 0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975, 0.4043154039624057]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.04374384880065918
deep_learning,Citation_Only,1,1,1,7,0.5328240486817954,[2013],[np.float64(0.8297207037873693)],['validated_citation_disruption'],0.06451678276062012
deep_learning,Direction_Only,10,10,10,7,0.5328240486817954,"[1990, 1995, 1999, 2002, 2004, 2006, 2008, 2010, 2012, 2014]","[0.642754662840746, 0.5781959766385465, 0.4024144869215292, 0.4351492663180976, 0.4767830687830688, 0.4034782608695652, 0.4240309829401786, 0.43640081799590996, 0.45689655172413796, 0.46708177667081774]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.04252505302429199
deep_learning,Citation_Direction,9,9,9,7,0.5328240486817954,"[2013, 1990, 1995, 1999, 2002, 2004, 2006, 2008, 2015]","[1.0, 0.642754662840746, 0.5781959766385465, 0.4024144869215292, 0.4351492663180976, 0.4767830687830688, 0.4034782608695652, 0.4240309829401786, 0.4326097328244275]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.06650590896606445
computer_vision,Citation_Only,0,0,0,6,0.4824909621883759,[],[],[],0.03656506538391113
computer_vision,Direction_Only,7,7,7,6,0.4824909621883759,"[1979, 1987, 1993, 1996, 2001, 2003, 2009]","[0.5751633986928105, 0.5224130708001676, 0.6049094097019287, 0.44691020826220557, 0.40907999039154463, 0.4050412435505603, 0.4139194139194139]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.06170916557312012
computer_vision,Citation_Direction,7,7,7,6,0.4824909621883759,"[1979, 1987, 1993, 1996, 2001, 2003, 2009]","[0.5751633986928105, 0.5224130708001676, 0.6049094097019287, 0.44691020826220557, 0.40907999039154463, 0.4050412435505603, 0.4139194139194139]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.04143095016479492
machine_learning,Citation_Only,1,1,1,10,0.5303059211984449,[2014],[1.0],['validated_citation_disruption'],0.04822134971618652
