id,title,content,year,cited_by_count,keywords,children
https://openalex.org/W1702768895,Creativity: Flow and the Psychology of Discovery and Invention,"Creativity: Flow and the Psychology of Discovery and Invention

Creativity is about capturing those moments that make life worth living. The author's objective to offer an understanding of what leads these moments, be it the excitement artist at easel or scientist in lab, so knowledge can used enrich people's lives. Drawing on 100 interviews with exceptional people, from biologists and physicists politicians business leaders, poets artists, as well his 30 years research subject, Csikszentmihalyi uses famous theory explore creative process. He discusses such ideas why individuals are often seen selfish arrogant, tortured genius largely a myth. Most important, he clearly explains creativity needs cultivated necessary for future our country, if not world.Accessible enjoyable reading. --Washington Times Although benefits this study scholars obvious, thought-provoking mixture scholarly colloquial will enlighten inquisitive general readers, too. --Library Journal (starred review)

creative computing, creative industry, creative technology, experimental psychology, discovery research, art, cognitive science, knowledge discovery, creativity assessment, behavioral sciences, aesthetics",1996,6530,creative computing|creative industry|creative technology|experimental psychology|discovery research|art|cognitive science|knowledge discovery|creativity assessment|behavioral sciences|aesthetics,https://openalex.org/W2171670511|https://openalex.org/W1977515112
https://openalex.org/W1529253181,The Image of the City,"The Image of the City

What does the city's form actually mean to people who live there? can city planner do make image more vivid and memorable dweller? To answer these questions, Mr. Lynch, supported by studies of Los Angeles, Boston, Jersey City, formulates a new criterion -- imageability shows its potential value as guide for building rebuilding cities. The wide scope this study leads an original vital method evaluation form. architect, planner, certainly dweller will all want read book.

urban history, urban process, urban life, urban condition, urban environment, geography, art, urbanism, urban theory, urban planning, urban design, urbanization, urban geography, urban climate, urban study, urban affair, urban sociology",1960,6407,urban history|urban process|urban life|urban condition|urban environment|geography|art|urbanism|urban theory|urban planning|urban design|urbanization|urban geography|urban climate|urban study|urban affair|urban sociology,https://openalex.org/W2077424253
https://openalex.org/W2008942963,Art as Experience,"Art as Experience

“Seni Sebagai Pengalaman” telah berkembang dan dipertimbangkan secara internasional sebagai karya paling terkenal yang pernah ditulis oleh John Dewey, seorang Amerika, pada struktur formal efek karakteristik dari semua seni: arsitektur, patung, lukisan, musik sastra. Buku ini wajib dibaca seniman maupun kolektorseni untuk memperdalam pengetahuan perspektif seni. Pada prinsipnya buku mengulas tentang estetika

history of art, visual arts, art education, visual culture, art theory, radical aesthetic, culture, art management, art, interactive art, art research, art history, narrative, contemporary art, participatory art, performance art, aesthetics",1934,5354,history of art|visual arts|art education|visual culture|art theory|radical aesthetic|culture|art management|art|interactive art|art research|art history|narrative|contemporary art|participatory art|performance art|aesthetics,https://openalex.org/W2135347478|https://openalex.org/W2028880259|https://openalex.org/W2121691163
https://openalex.org/W2109616123,"A standardized set of 260 pictures: Norms for name agreement, image agreement, familiarity, and visual complexity.","A standardized set of 260 pictures: Norms for name agreement, image agreement, familiarity, and visual complexity.

In this article we present a standardized set of 260 pictures for use in experiments investigating differences and similarities the processing words. The are black-and-white line drawings executed according to rules that provide consistency pictorial representation. have been on four variables central relevance memory cognitive processing: name agreement, image familiarity, visual complexity. intercorrelations among measures were low, suggesting they indices different attributes pictures. concepts selected exemplars from several widely studied semantic categories. Sources naming variance, mean familiarity complexity exemplars, differed significantly across categories investigated. potential significance each normative number episodic tasks is discussed.

digital image processing, machine learning research, aesthetics, art history, pattern recognition, art, multimedia retrieval, image representation, computational imaging, image agreement, name agreement, global comparison, visual culture, visual complexity, image similarity, image database, standardized set, image retrieval, cognitive science, unified classification, image communication, image analysis",1980,5031,digital image processing|machine learning research|aesthetics|art history|pattern recognition|art|multimedia retrieval|image representation|computational imaging|image agreement|name agreement|global comparison|visual culture|visual complexity|image similarity|image database|standardized set|image retrieval|cognitive science|unified classification|image communication|image analysis,
https://openalex.org/W1505038837,Camera Lucida: Reflections on Photography,"Camera Lucida: Reflections on Photography

Barthes shares his passionate, in-depth knowledge and understanding of photography. Examining the themes presence absence, relationship between photography theatre, history death, these 'reflections on photography' begin as an investigation into nature photographs. Then, contemplates a photograph mother child, book becomes exposition own mind.

visual culture, reflectance modeling, art, camera lucida, art history",2001,4940,visual culture|reflectance modeling|art|camera lucida|art history,https://openalex.org/W2493853516
https://openalex.org/W2475287302,Image Style Transfer Using Convolutional Neural Networks,"Image Style Transfer Using Convolutional Neural Networks

Rendering the semantic content of an image in different styles is a difficult processing task. Arguably, major limiting factor for previous approaches has been lack representations that explicitly represent information and, thus, allow to separate from style. Here we use derived Convolutional Neural Networks optimised object recognition, which make high level explicit. We introduce A Algorithm Artistic Style can and recombine style natural images. The algorithm allows us produce new images perceptual quality combine arbitrary photograph with appearance numerous wellknown artworks. Our results provide insights into deep learned by demonstrate their potential synthesis manipulation.

computer science, machine learning, image manipulation, synthetic image generation, image analysis, convolutional neural network, cognitive science, style transfer, image representation, computational imaging, transfer learning, image communication, deep learning, image style transfer, machine vision, digital image processing, computer vision, multimedia retrieval, art",2016,4876,computer science|machine learning|image manipulation|synthetic image generation|image analysis|convolutional neural network|cognitive science|style transfer|image representation|computational imaging|transfer learning|image communication|deep learning|image style transfer|machine vision|digital image processing|computer vision|multimedia retrieval|art,https://openalex.org/W2603777577
https://openalex.org/W2001498083,Domination and the Arts of Resistance,"Domination and the Arts of Resistance

""Play fool, to catch wise.""proverb of Jamaican slaves Confrontations between the powerless and powerful are laden with deceptionthe feign deference subtly assert their mastery. Peasants, serfs, untouchables, slaves, laborers, prisoners not free speak minds in presence power. These subordinate groups instead create a secret discourse that represents critique power spoken behind backs dominant. At same time, also develop private dialogue about practices goals rule cannot be openly avowed. In this book, renowned social scientist James C. Scott offers penetrating discussion both public roles played by mocking, vengeful tone they display off stagewhat he terms hidden transcripts. Using examples from literature, history, politics cultures around world, examines many guises interaction has taken throughout history tensions contradictions it reflects. describes ideological resistance groupstheir gossip, folktales, songs, jokes, theatertheir use anonymity ambiguity. He analyzes how ruling elites attempt convey an impression hegemony through such devices as parades, state ceremony, rituals subordination apology. Finally, identifieswith quotations range recollections American those Russian citizens during beginnings Gorbachev's glasnost campaignthe political electricity generated among oppressed when, for first transcript is directly publicly face His landmark work will revise our understanding subordination, resistance, hegemony, folk culture, ideas revolt.

art education, contemporary china, coercion, social force, anti-imperialism, critical theory, protest, performance studies, resistance management, art, class conflict, postcolonial writing, feminist theory, specific resistance, art history, contemporary art, performance art, conflict",2017,4341,art education|contemporary china|coercion|social force|anti-imperialism|critical theory|protest|performance studies|resistance management|art|class conflict|postcolonial writing|feminist theory|specific resistance|art history|contemporary art|performance art|conflict,
https://openalex.org/W1552922347,The Field of Cultural Production: Essays on Art and Literature,"The Field of Cultural Production: Essays on Art and Literature

Part 1 The field of cultural production: the production, or - economic world reversed production belief contribution to an economy symbolic goods market goods. 2 Flaubert and French literary field: is structure sentimental education instance social self-analysis? power, habitus principles for a sociology works Flaubert's point view. 3 pure gaze essays on art: outline sociological theory art perception institutionalization Anomie historical genesis aesthetic.

cultural change, visual culture, cultural practice, culture, art, literature, cultural production, cultural studies",1996,4252,cultural change|visual culture|cultural practice|culture|art|literature|cultural production|cultural studies,
https://openalex.org/W1593163947,A Taxonomy of Mixed Reality Visual Displays,"A Taxonomy of Mixed Reality Visual Displays

Paul Milgram received the B.A.Sc. degree from University of Toronto in 1970, M.S.E.E. Technion (Israel) 1973 and Ph.D. 1980. From 1980 to 1982 he was a ZWO Visiting Scientist NATO Postdoctoral Netherlands, researching automobile driving behaviour. 1984 Senior Research Engineer Human Engineering at National Aerospace Laboratory (NLR) Amsterdam, where his work involved modelling aircraft flight crew activity, advanced display concepts control loops with human operators space teleoperation. Since 1986 has worked Industrial Department Toronto, is currently an Associate Professor Coordinator Factors group. He also cross appointed Psychology. In 1993-94 invited researcher ATR Communication Systems Laboratories, Kyoto, Japan. His research interests include issues telerobotics virtual environments, stereoscopic video computer graphics, cognitive engineering, factors medicine. President Translucent Technologies, company which produces Plato liquid crystal visual occlusion spectacles (of inventor), for psychomotor research.

visual arts, human-computer interaction, visual culture, graphic interface, visual effect, immersive technology, computer graphic, public display, art, visual system, screen medium, mixed reality, visual perception, visual science, virtual reality, advanced display technology",1994,4063,visual arts|human-computer interaction|visual culture|graphic interface|visual effect|immersive technology|computer graphic|public display|art|visual system|screen medium|mixed reality|visual perception|visual science|virtual reality|advanced display technology,
https://openalex.org/W2625385308,The Rise of the Creative Class,"The Rise of the Creative Class

Rise, as it has been appropriately re-dubbed in the popular
lexicon, looks at forces reshaping our economy and how
companies, communities people can survive prosper in
uncertain times. It gives us a provocative new way to think
about why we live do today – where might be
headed. Weaving storytelling with reams of cutting-edge
research, Florida traces fundamental theme that runs
through host seemingly unrelated changes American
society: growing role creativity economy.

digital humanities, authenticity, creative industry, intellectual history, creative technology, culture, class imbalance, art, social class, class conflict, creativity assessment, sociology, narrative, creative writing, creative class, design culture",2002,3960,digital humanities|authenticity|creative industry|intellectual history|creative technology|culture|class imbalance|art|social class|class conflict|creativity assessment|sociology|narrative|creative writing|creative class|design culture,https://openalex.org/W2131018663|https://openalex.org/W2156494141|https://openalex.org/W2112804145|https://openalex.org/W1988857052
