id,title,content,year,cited_by_count,keywords,children
https://openalex.org/W1981368803,Generalized Gradient Approximation Made Simple,"Generalized Gradient Approximation Made Simple

Generalized gradient approximations (GGA's) for the exchange-correlation energy improve upon local spin density (LSD) description of atoms, molecules, and solids. We present a simple derivation GGA, in which all parameters (other than those LSD) are fundamental constants. Only general features detailed construction underlying Perdew-Wang 1991 (PW91) GGA invoked. Improvements over PW91 include an accurate linear response uniform electron gas, correct behavior under scaling, smoother potential.

mathematics, computer science, approximation theory, approximation method, gradient approximation, mathematical optimization, low-rank approximation, applied mathematics, numerical analysis, machine learning research, computational optimization",1996,168684,mathematics|computer science|approximation theory|approximation method|gradient approximation|mathematical optimization|low-rank approximation|applied mathematics|numerical analysis|machine learning research|computational optimization,
https://openalex.org/W2194775991,Deep Residual Learning for Image Recognition,"Deep Residual Learning for Image Recognition

Deeper neural networks are more difficult to train. We present a residual learning framework ease the training of that substantially deeper than those used previously. explicitly reformulate layers as functions with reference layer inputs, instead unreferenced functions. provide comprehensive empirical evidence showing these easier optimize, and can gain accuracy from considerably increased depth. On ImageNet dataset we evaluate nets depth up 152 - 8× VGG [40] but still having lower complexity. An ensemble achieves 3.57% error on test set. This result won 1st place ILSVRC 2015 classification task. also analysis CIFAR-10 100 1000 layers. The representations is central importance for many visual recognition tasks. Solely due our extremely deep representations, obtain 28% relative improvement COCO object detection dataset. Deep foundations submissions & competitions1, where places tasks detection, localization, segmentation.

image analysis, pattern recognition, computer science, computational imaging, convolutional neural network, object recognition, unsupervised machine learning, machine learning, deep residual learning, deep learning, image representation, image recognition, principal component analysis, image classification, digital image processing",2016,159317,image analysis|pattern recognition|computer science|computational imaging|convolutional neural network|object recognition|unsupervised machine learning|machine learning|deep residual learning|deep learning|image representation|image recognition|principal component analysis|image classification|digital image processing,https://openalex.org/W2963446712|https://openalex.org/W2618530766|https://openalex.org/W639708223|https://openalex.org/W2963150697|https://openalex.org/W2963351448|https://openalex.org/W2565639579|https://openalex.org/W2752782242|https://openalex.org/W2962793481|https://openalex.org/W2412782625|https://openalex.org/W2963163009|https://openalex.org/W2570343428|https://openalex.org/W2531409750|https://openalex.org/W2962858109|https://openalex.org/W3138516171|https://openalex.org/W2560023338|https://openalex.org/W2963420686|https://openalex.org/W2963470893|https://openalex.org/W3094502228|https://openalex.org/W2549139847|https://openalex.org/W2963091558|https://openalex.org/W2612445135|https://openalex.org/W3018757597|https://openalex.org/W2954996726|https://openalex.org/W3035524453|https://openalex.org/W2963524571|https://openalex.org/W2962914239|https://openalex.org/W2508457857|https://openalex.org/W2963125010|https://openalex.org/W2963857521|https://openalex.org/W2402144811|https://openalex.org/W2559085405|https://openalex.org/W3005680577
https://openalex.org/W2064675550,Long Short-Term Memory,"Long Short-Term Memory

Learning to store information over extended time intervals by recurrent backpropagation takes a very long time, mostly because of insufficient, decaying error backflow. We briefly review Hochreiter's (1991) analysis this problem, then address it introducing novel, efficient, gradient based method called short-term memory (LSTM). Truncating the where does not do harm, LSTM can learn bridge minimal lags in excess 1000 discrete-time steps enforcing constant flow through carousels within special units. Multiplicative gate units open and close access flow. is local space time; its computational complexity per step weight O. 1. Our experiments with artificial data involve local, distributed, real-valued, noisy pattern representations. In comparisons real-time learning, back propagation cascade correlation, Elman nets, neural sequence chunking, leads many more successful runs, learns much faster. also solves complex, long-time-lag tasks that have never been solved previous network algorithms.

computer science, neuroimaging, neuroscience, explicit memory, short-term memory, cognitive science, cognitive neuroscience, neural computation, memory",1997,73671,computer science|neuroimaging|neuroscience|explicit memory|short-term memory|cognitive science|cognitive neuroscience|neural computation|memory,https://openalex.org/W2194775991|https://openalex.org/W2752782242|https://openalex.org/W2157331557|https://openalex.org/W2964308564|https://openalex.org/W2130942839|https://openalex.org/W2963420686|https://openalex.org/W1924770834|https://openalex.org/W2963091558|https://openalex.org/W2271840356|https://openalex.org/W2143612262|https://openalex.org/W2950635152|https://openalex.org/W2402144811|https://openalex.org/W1895577753
https://openalex.org/W2163605009,ImageNet Classification with Deep Convolutional Neural Networks,"ImageNet Classification with Deep Convolutional Neural Networks

We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in ImageNet LSVRC-2010 contest into 1000 different classes. On test data, we achieved top-1 and top-5 error rates of 37.5% 17.0% which is considerably better than previous state-of-the-art. The network, has 60 parameters 650,000 neurons, consists five layers, some are followed by max-pooling three fully-connected layers with final 1000-way softmax. To make training faster, used non-saturating neurons very efficient GPU implementation convolution operation. reduce overriding employed recently-developed regularization method called dropout that proved be effective. also entered variant this model ILSVRC-2012 competition winning rate 15.3%, compared 26.2% second-best entry.

digital image processing, biomedical imaging, automatic classification, intelligent classification, neural network (machine learning), imagenet classification, computer science, health science, machine learning research, deep learning, image representation, medical image computing, computational imaging, data classification, machine learning, image classification, data science, convolutional neural network, image analysis",2012,63969,digital image processing|biomedical imaging|automatic classification|intelligent classification|neural network (machine learning)|imagenet classification|computer science|health science|machine learning research|deep learning|image representation|medical image computing|computational imaging|data classification|machine learning|image classification|data science|convolutional neural network|image analysis,https://openalex.org/W2194775991|https://openalex.org/W2097117768|https://openalex.org/W2963446712|https://openalex.org/W2095705004|https://openalex.org/W1903029394|https://openalex.org/W2102605133|https://openalex.org/W2183341477|https://openalex.org/W2099471712|https://openalex.org/W1536680647|https://openalex.org/W2963150697|https://openalex.org/W2963351448|https://openalex.org/W2565639579|https://openalex.org/W2752782242|https://openalex.org/W2157331557|https://openalex.org/W2412782625|https://openalex.org/W2570343428|https://openalex.org/W1677182931|https://openalex.org/W2613718673|https://openalex.org/W2531409750|https://openalex.org/W2130942839|https://openalex.org/W2962858109|https://openalex.org/W1821462560|https://openalex.org/W3138516171|https://openalex.org/W1832693441|https://openalex.org/W2560023338|https://openalex.org/W2963420686|https://openalex.org/W2963470893|https://openalex.org/W3094502228|https://openalex.org/W2549139847|https://openalex.org/W2340897893|https://openalex.org/W2109255472|https://openalex.org/W2295107390|https://openalex.org/W1522734439|https://openalex.org/W1885185971|https://openalex.org/W2964153729|https://openalex.org/W2950635152|https://openalex.org/W2508457857|https://openalex.org/W2963125010|https://openalex.org/W1834627138|https://openalex.org/W2963857521|https://openalex.org/W1901616594|https://openalex.org/W2962785568|https://openalex.org/W2145287260|https://openalex.org/W2016053056|https://openalex.org/W3005680577
https://openalex.org/W2101234009,Scikit-learn: Machine Learning in Python,"Scikit-learn: Machine Learning in Python

Scikit-learn is a Python module integrating wide range of state-of-the-art machine learning algorithms for medium-scale supervised and unsupervised problems. This package focuses on bringing to non-specialists using general-purpose high-level language. Emphasis put ease use, performance, documentation, API consistency. It has minimal dependencies distributed under the simplified BSD license, encouraging its use in both academic commercial settings. Source code, binaries, documentation can be downloaded from http://scikit-learn.org.

computer science, automated machine learning, machine learning",2012,54358,computer science|automated machine learning|machine learning,https://openalex.org/W3099878876|https://openalex.org/W3103145119
https://openalex.org/W2108234281,The Sequence Alignment/Map format and SAMtools,"The Sequence Alignment/Map format and SAMtools

Summary: The Sequence Alignment/Map (SAM) format is a generic alignment for storing read alignments against reference sequences, supporting short and long reads (up to 128 Mbp) produced by different sequencing platforms. It flexible in style, compact size, efficient random access the which from 1000 Genomes Project are released. SAMtools implements various utilities post-processing SAM format, such as indexing, variant caller viewer, thus provides universal tools processing alignments. Availability: http://samtools.sourceforge.net Contact: rd@sanger.ac.uk

sequence analysis, computer science, sequence alignment",2009,52027,sequence analysis|computer science|sequence alignment,https://openalex.org/W2149992227|https://openalex.org/W4247053599|https://openalex.org/W2099085143
https://openalex.org/W2962835968,Very Deep Convolutional Networks for Large-Scale Image Recognition,"Very Deep Convolutional Networks for Large-Scale Image Recognition

In this work we investigate the effect of convolutional network depth on its accuracy in large-scale image recognition setting. Our main contribution is a thorough evaluation networks increasing using an architecture with very small (3x3) convolution filters, which shows that significant improvement prior-art configurations can be achieved by pushing to 16-19 weight layers. These findings were basis our ImageNet Challenge 2014 submission, where team secured first and second places localisation classification tracks respectively. We also show representations generalise well other datasets, they achieve state-of-the-art results. have made two best-performing ConvNet models publicly available facilitate further research use deep visual computer vision.

digital image processing, automatic classification, deep convolutional networks, computer science, machine learning research, deep learning, pattern recognition, machine vision, image representation, large-scale image recognition, large-scale datasets, computational imaging, machine learning, data science, cognitive science, computational intelligence, convolutional neural network, feature detection, unsupervised machine learning, image analysis",2014,49225,digital image processing|automatic classification|deep convolutional networks|computer science|machine learning research|deep learning|pattern recognition|machine vision|image representation|large-scale image recognition|large-scale datasets|computational imaging|machine learning|data science|cognitive science|computational intelligence|convolutional neural network|feature detection|unsupervised machine learning|image analysis,https://openalex.org/W2194775991|https://openalex.org/W1903029394|https://openalex.org/W639708223|https://openalex.org/W2183341477|https://openalex.org/W1536680647|https://openalex.org/W2953106684|https://openalex.org/W2565639579|https://openalex.org/W2752782242|https://openalex.org/W2962793481|https://openalex.org/W2412782625|https://openalex.org/W2963163009|https://openalex.org/W2570343428|https://openalex.org/W2613718673|https://openalex.org/W2531409750|https://openalex.org/W2962858109|https://openalex.org/W3138516171|https://openalex.org/W2963420686|https://openalex.org/W2963470893|https://openalex.org/W2549139847|https://openalex.org/W2963091558|https://openalex.org/W2340897893|https://openalex.org/W2109255472|https://openalex.org/W2295107390|https://openalex.org/W2395611524|https://openalex.org/W1522734439|https://openalex.org/W3035524453|https://openalex.org/W2963524571|https://openalex.org/W2962914239|https://openalex.org/W2508457857|https://openalex.org/W2963125010|https://openalex.org/W2962770929|https://openalex.org/W2242218935|https://openalex.org/W2962785568|https://openalex.org/W2559085405
https://openalex.org/W2112796928,Gradient-based learning applied to document recognition,"Gradient-based learning applied to document recognition

Multilayer neural networks trained with the back-propagation algorithm constitute best example of a successful gradient based learning technique. Given an appropriate network architecture, gradient-based algorithms can be used to synthesize complex decision surface that classify high-dimensional patterns, such as handwritten characters, minimal preprocessing. This paper reviews various methods applied character recognition and compares them on standard digit task. Convolutional networks, which are specifically designed deal variability 2D shapes, shown outperform all other techniques. Real-life document systems composed multiple modules including field extraction, segmentation recognition, language modeling. A new paradigm, called graph transformer (GTN), allows multimodule globally using so minimize overall performance measure. Two for online handwriting described. Experiments demonstrate advantage global training, flexibility networks. reading bank cheque is also It uses convolutional recognizers combined training techniques provide record accuracy business personal cheques. deployed commercially reads several million cheques per day.

computer science, machine learning",1998,46479,computer science|machine learning,https://openalex.org/W2097117768|https://openalex.org/W2963446712|https://openalex.org/W2102605133|https://openalex.org/W2099471712|https://openalex.org/W1836465849|https://openalex.org/W2949117887|https://openalex.org/W2412782625|https://openalex.org/W2136922672|https://openalex.org/W2130942839|https://openalex.org/W3138516171|https://openalex.org/W1832693441|https://openalex.org/W1533861849|https://openalex.org/W2954996726|https://openalex.org/W1885185971|https://openalex.org/W1904365287|https://openalex.org/W2057175746|https://openalex.org/W2963857521|https://openalex.org/W2242218935|https://openalex.org/W2145287260|https://openalex.org/W2016053056|https://openalex.org/W1983364832|https://openalex.org/W2158899491
https://openalex.org/W2133665775,Image Quality Assessment: From Error Visibility to Structural Similarity,"Image Quality Assessment: From Error Visibility to Structural Similarity

Objective methods for assessing perceptual image quality traditionally attempted to quantify the visibility of errors (differences) between a distorted and reference using variety known properties human visual system. Under assumption that perception is highly adapted extracting structural information from scene, we introduce an alternative complementary framework assessment based on degradation information. As specific example this concept, develop similarity index demonstrate its promise through set intuitive examples, as well comparison both subjective ratings state-of-the-art objective database images compressed with JPEG JPEG2000. A MATLAB implementation proposed algorithm available online at http://www.cns.nyu.edu//spl sim/lcv/ssim/.

image analysis, pattern recognition, computer science, computational imaging, error visibility, structural similarity, image quality assessment, image restoration, computer vision, image representation, image similarity, digital image processing",2004,42555,image analysis|pattern recognition|computer science|computational imaging|error visibility|structural similarity|image quality assessment|image restoration|computer vision|image representation|image similarity|digital image processing,https://openalex.org/W2963073614|https://openalex.org/W2963470893|https://openalex.org/W1885185971|https://openalex.org/W2962785568
https://openalex.org/W1686810756,Very Deep Convolutional Networks for Large-Scale Image Recognition,"Very Deep Convolutional Networks for Large-Scale Image Recognition

In this work we investigate the effect of convolutional network depth on its accuracy in large-scale image recognition setting. Our main contribution is a thorough evaluation networks increasing using an architecture with very small (3x3) convolution filters, which shows that significant improvement prior-art configurations can be achieved by pushing to 16-19 weight layers. These findings were basis our ImageNet Challenge 2014 submission, where team secured first and second places localisation classification tracks respectively. We also show representations generalise well other datasets, they achieve state-of-the-art results. have made two best-performing ConvNet models publicly available facilitate further research use deep visual computer vision.

computer science, unsupervised machine learning, convolutional neural network, large-scale datasets, deep convolutional networks, cognitive science, digital image processing, large-scale image recognition, data science, deep learning, pattern recognition, automatic classification, machine learning, computational imaging, machine learning research, machine vision, image analysis, computational intelligence, feature detection, image representation",2014,42084,computer science|unsupervised machine learning|convolutional neural network|large-scale datasets|deep convolutional networks|cognitive science|digital image processing|large-scale image recognition|data science|deep learning|pattern recognition|automatic classification|machine learning|computational imaging|machine learning research|machine vision|image analysis|computational intelligence|feature detection|image representation,https://openalex.org/W1903029394|https://openalex.org/W639708223|https://openalex.org/W2183341477|https://openalex.org/W1536680647|https://openalex.org/W2962793481|https://openalex.org/W2963881378|https://openalex.org/W2570343428|https://openalex.org/W1677182931|https://openalex.org/W2531409750|https://openalex.org/W2560023338|https://openalex.org/W2340897893|https://openalex.org/W2109255472|https://openalex.org/W2612445135|https://openalex.org/W3018757597|https://openalex.org/W1522734439|https://openalex.org/W2954996726|https://openalex.org/W2962914239|https://openalex.org/W2963125010|https://openalex.org/W2962785568|https://openalex.org/W2279098554|https://openalex.org/W3005680577
