id,title,content,year,cited_by_count,keywords,children
https://openalex.org/W1963623641,A survey of image registration techniques,"A survey of image registration techniques

Registration is a fundamental task in image processing used to match two or more pictures taken, for example, at different times, from sensors, viewpoints. Virtually all large systems which evaluate images require the registration of images, closely related operation, as an intermediate step. Specific examples where significant component include matching target with real-time scene recognition, monitoring global land usage using satellite stereo recover shape autonomous navigation, and aligning medical modalities diagnosis. Over years, broad range techniques has been developed various types data problems. These have independently studied several applications, resulting body research. This paper organizes this material by establishing relationship between variations type can most appropriately be applied. Three major are distinguished. The first due differences acquisition cause misaligned. To register spatial transformation found will remove these variations. class transformations must searched find optimal determined knowledge about type. turn influences general technique that should taken. second those also acquisition, but cannot modeled easily such lighting atmospheric conditions. usually effects intensity values, they may spatial, perspective distortions. third interest object movements, growths, other changes. Variations not directly removed registration, make difficult since exact no longer possible. In particular, it critical removed. Knowledge characteristics each variation effect choice feature space, similarity measure, search strategy up final technique. All viewed combinations choices. framework useful understanding merits relationships wide variety existing assisting selection suitable specific problem.

image analysis, pattern recognition, computer science, image registration techniques, computer vision, image registration, image classification, digital image processing",1992,4015,image analysis|pattern recognition|computer science|image registration techniques|computer vision|image registration|image classification|digital image processing,https://openalex.org/W2131938193
https://openalex.org/W2164568552,Methods of combining multiple classifiers and their applications to handwriting recognition,"Methods of combining multiple classifiers and their applications to handwriting recognition

Possible solutions to the problem of combining classifiers can be divided into three categories according levels information available from various classifiers. Four approaches based on different methodologies are proposed for solving this problem. One is suitable individual such as Bayesian, k-nearest-neighbor, and distance The other could used any kind On applying these methods combine several recognizing totally unconstrained handwritten numerals, experimental results show that performance improved significantly. For example, US zipcode database, 98.9% recognition with 0.90% substitution 0.2% rejection obtained, well high reliability 95% recognition, 0% substitution, 5% rejection.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>

image analysis, pattern recognition, computer science, information fusion, character recognition, multiple classifier system, computer vision, machine learning, feature fusion, multiple classifiers, deep learning, machine learning research, automatic classification, classification method",1992,2186,image analysis|pattern recognition|computer science|information fusion|character recognition|multiple classifier system|computer vision|machine learning|feature fusion|multiple classifiers|deep learning|machine learning research|automatic classification|classification method,
https://openalex.org/W1990005524,Rapid Automated Algorithm for Aligning and Reslicing PET Images,"Rapid Automated Algorithm for Aligning and Reslicing PET Images

A computer algorithm for the three-dimensional (3D) alignment of PET images is described. To align two images, calculates ratio one image to other on a voxel-by-voxel basis and then iteratively moves relative another minimize variance this across voxels. Since method relies anatomic information in rather than external fiducial markers, it can be applied retrospectively. Validation studies using 3D brain phantom show that aligns acquired at wide variety positions with maximum positional errors are usually less width voxel (1.745 mm). Simulated cortical activation sites do not interfere alignment. Global quantitation from realignment <2%. Regional due partial volume effects largest when gantry rotated by large angles or bed translated axially one-half interplane distance. such effects, used prospectively, during acquisition, reposition scanner match an earlier study. Computation requires 3–6 min Sun SPARCstation 2.

image analysis, pattern recognition, computer science, computational imaging, medical image computing, positron emission tomography, medical imaging, radiology, biomedical imaging, image stitching, medical image analysis, computer vision, pet images, image reconstruction, image representation, reconstruction technique, digital image processing",1992,1947,image analysis|pattern recognition|computer science|computational imaging|medical image computing|positron emission tomography|medical imaging|radiology|biomedical imaging|image stitching|medical image analysis|computer vision|pet images|image reconstruction|image representation|reconstruction technique|digital image processing,https://openalex.org/W2131938193|https://openalex.org/W2104612543
https://openalex.org/W2144158572,A CFAR adaptive matched filter detector,"A CFAR adaptive matched filter detector

An adaptive algorithm for radar target detection using an antenna array is proposed. The detector derived in a manner similar to that of the generalized likelihood-ratio test (GLRT) but contains simplified statistic limiting case GLRT detector. This analyzed performance signals on boresight, as well when signal direction misaligned with look direction.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>

image analysis, pattern recognition, computer science, filter (signal processing), radar image processing, computer vision, adaptive filter, filter design, filter detector",1992,1417,image analysis|pattern recognition|computer science|filter (signal processing)|radar image processing|computer vision|adaptive filter|filter design|filter detector,
https://openalex.org/W2106588364,Tree visualization with tree-maps,"Tree visualization with tree-maps

article Free Access Share on Tree visualization with tree-maps: 2-d space-filling approach Author: Ben Shneiderman Univ. of Maryland, College Park ParkView Profile Authors Info & Claims ACM Transactions GraphicsVolume 11Issue 1pp 92–99https://doi.org/10.1145/102377.115768Published:02 January 1992Publication History 955citation7,810DownloadsMetricsTotal Citations955Total Downloads7,810Last 12 Months539Last 6 weeks58 Get Citation AlertsNew Alert added!This alert has been successfully added and will be sent to:You notified whenever a record that you have chosen cited.To manage your preferences, click the button below.Manage my Alert!Please log in to account Save BinderSave BinderCreate New BinderNameCancelCreateExport CitationPublisher SiteeReaderPDF

computer science, data and information visualization, scientific visualization, image analysis, information visualization, graph theory, visualization, data science, forest ecosystem, tree language, tree growth, computational visualization, forest research, tree visualization, interactive visualization, computer graphic, computer vision, geography, forest ecology",1992,1307,computer science|data and information visualization|scientific visualization|image analysis|information visualization|graph theory|visualization|data science|forest ecosystem|tree language|tree growth|computational visualization|forest research|tree visualization|interactive visualization|computer graphic|computer vision|geography|forest ecology,
https://openalex.org/W1530454533,Geometric invariance in computer vision,"Geometric invariance in computer vision

Part 1 Foundations: algebraic invariants - invariant theory and enumerative combinatorics of young tableaux, Shreeram S. Abhyankar, geometric interpretation joint conic invariants, Joseph L. Mundy, et al, an experimental evaluation projective Christopher Coelho, al the projection two non-coplanar conics, Stephen J. Maybank non-existence general-case view-invariants, Brian Burns, non-algebraic curves noise resistant curves, Isaac Weiss, semi-differential Luc Van Gool, for in three dimensions, Michael H. Brill, numerical differential Brown, recognizing general curved objects efficiently, Andrew Zisserman, fitting affine conics to Deepak Kapur projectively decomposition planar shapes, Stefan Carlsson from multiple views linear methods photogrammetry model-matching, Eamon B. Barrett, nonplanar disambiguating stereo matches with spatio-temporal surfaces, Olivier Faugeras Theo Papadopoulo. 2 Applications: transformation indexing, Haim Wolfson Yehezkel Lamdan model-based recognition, John E. Hopcroft, object recognition based on moment (or algebraic) Gabriel Taubin David Cooper fast using Charles A. Rothwell, toward 3D image contours, Jean Ponce Kriegman relative positioning uncalibrated cameras, Roger Mohr, al. Appendix: geometry machine vision, Mundy Zisserman.

geometric invariance, computer science, computer vision",1992,1024,geometric invariance|computer science|computer vision,
https://openalex.org/W2095727900,"Multilayer perceptron, fuzzy sets, and classification","Multilayer perceptron, fuzzy sets, and classification

A fuzzy neural network model based on the multilayer perceptron, using backpropagation algorithm, and capable of classification patterns is described. The input vector consists membership values to linguistic properties while output defined in terms class values. This allows efficient modeling uncertain with appropriate weights being assigned backpropagated errors depending upon at corresponding outputs. During training, learning rate gradually decreased discrete steps until converges a minimum error solution. effectiveness algorithm demonstrated speech recognition problem. results are compared those conventional MLP, Bayes classifier, other related models.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>

computer science, fuzzy pattern recognition, fuzzy logic, computer vision, machine learning, deep learning, machine learning research, multilayer perceptron, machine vision, fuzzy set",1992,1018,computer science|fuzzy pattern recognition|fuzzy logic|computer vision|machine learning|deep learning|machine learning research|multilayer perceptron|machine vision|fuzzy set,
https://openalex.org/W2046911213,Feature-based image metamorphosis,"Feature-based image metamorphosis

article Free Access Share on Feature-based image metamorphosis Authors: Thaddeus Beier Silicon Graphics Computer Systems201 I Shoreline Blvd. Mountain View CA CAView Profile , Shawn Neely Pacific Data Images, 1111 Karlsbad Drive, Sunnyvale Authors Info & Claims ACM SIGGRAPH GraphicsVolume 26Issue 2July 1992 pp 35–42https://doi.org/10.1145/142920.134003Online:01 July 1992Publication History 686citation6,194DownloadsMetricsTotal Citations686Total Downloads6,194Last 12 Months240Last 6 weeks51 Get Citation AlertsNew Alert added!This alert has been successfully added and will be sent to:You notified whenever a record that you have chosen cited.To manage your preferences, click the button below.Manage my Alert!Please log in to account Save BinderSave BinderCreate New BinderNameCancelCreateExport CitationPublisher SiteeReaderPDF

image similarity, feature-based image metamorphosis, digital image processing, computer vision, pattern recognition, computational imaging, machine vision, content-based image retrieval, computer science, image manipulation, scene interpretation, image representation, feature (computer vision), computer graphic, image analysis",1992,922,image similarity|feature-based image metamorphosis|digital image processing|computer vision|pattern recognition|computational imaging|machine vision|content-based image retrieval|computer science|image manipulation|scene interpretation|image representation|feature (computer vision)|computer graphic|image analysis,
https://openalex.org/W2120041316,A filter bank for the directional decomposition of images: theory and design,"A filter bank for the directional decomposition of images: theory and design

The authors introduce a directionally oriented 2-D filter bank with the property that individual channels may be critically sampled without loss of information. passband regions component filters are wedge-shaped and thus provide directional It is shown these outputs maximally decimated to achieve minimum sample representation in way permits original signal exactly reconstructed. discuss theory for decomposition reconstruction. In addition, implementation issues addressed where realizations based on both recursive nonrecursive considered.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>

pattern recognition, computer science, directional decomposition, machine learning, image denoising, automatic classification, principal component analysis, image analysis, data science, image representation, computational imaging, filtering technique, multimedia information processing, machine vision, digital image processing, spatial filtering, computer vision, multimedia retrieval, design",1992,879,pattern recognition|computer science|directional decomposition|machine learning|image denoising|automatic classification|principal component analysis|image analysis|data science|image representation|computational imaging|filtering technique|multimedia information processing|machine vision|digital image processing|spatial filtering|computer vision|multimedia retrieval|design,
https://openalex.org/W2039306215,Multitarget-Multisensor Tracking: Applications and Advances,"Multitarget-Multisensor Tracking: Applications and Advances

Practical Aspects of Multisensor Tracking. Survey Assignment Techniques for Multitarget IMM Estimator with Nearest Neighbor Joint Probabilistic Data Association. Multiassignment Tracking a Large Number Overlapping Objects. Finite Difference Methods Nonlinear Filtering and Automatic Target Recognition. Scale Ground Single Multiple MTI Sensors. Radar Systems Modeling ECM Waveform Detection/Tracking Performance at the System Level. Engineer's Guide to Variable-Structure Multiple-Model Estimation

image analysis, computer science, information fusion, sensor, object tracking, multitarget-multisensor tracking, multi-sensor management, computer vision, machine learning, motion detection, multi-sensor information fusion, data science, moving object tracking, machine vision, digital image processing",1992,769,image analysis|computer science|information fusion|sensor|object tracking|multitarget-multisensor tracking|multi-sensor management|computer vision|machine learning|motion detection|multi-sensor information fusion|data science|moving object tracking|machine vision|digital image processing,
