id,title,content,year,cited_by_count,keywords,children
https://openalex.org/W2019207321,ANFIS: adaptive-network-based fuzzy inference system,"ANFIS: adaptive-network-based fuzzy inference system

The architecture and learning procedure underlying ANFIS (adaptive-network-based fuzzy inference system) is presented, which a system implemented in the framework of adaptive networks. By using hybrid procedure, proposed can construct an input-output mapping based on both human knowledge (in form if-then rules) stipulated data pairs. In simulation, employed to model nonlinear functions, identify components on-line control system, predict chaotic time series, all yielding remarkable results. Comparisons with artificial neural networks earlier work modeling are listed discussed. Other extensions promising applications automatic signal processing also suggested.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>

computer science, artificial intelligence, inference, fuzzy logic, fuzzy modeling, fuzzy pattern recognition, machine learning, fuzzy optimization, cognitive science, fuzzy computing, data science, network analysis, fuzzy expert system, neural network (machine learning), fuzzy system, fuzzy set",1993,15030,computer science|artificial intelligence|inference|fuzzy logic|fuzzy modeling|fuzzy pattern recognition|machine learning|fuzzy optimization|cognitive science|fuzzy computing|data science|network analysis|fuzzy expert system|neural network (machine learning)|fuzzy system|fuzzy set,
https://openalex.org/W2158733823,Random early detection gateways for congestion avoidance,"Random early detection gateways for congestion avoidance

The authors present random early detection (RED) gateways for congestion avoidance in packet-switched networks. gateway detects incipient by computing the average queue size. could notify connections of either dropping packets arriving at or setting a bit packet headers. When size exceeds threshold, drops marks each with certain probability, where exact probability is function RED keep low while allowing occasional bursts queue. During congestion, that notifies particular connection to reduce its window roughly proportional connection's share bandwidth through gateway. are designed accompany transport-layer control protocol such as TCP. has no bias against bursty traffic and avoids global synchronization many decreasing their same time. Simulations TCP/IP network used illustrate performance gateways.< <ETX xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">&gt;</ETX>

early detection gateways, computer science, congestion avoidance, machine learning, early detection",1993,6216,early detection gateways|computer science|congestion avoidance|machine learning|early detection,
https://openalex.org/W2797532987,Introduction to Linear Regression Analysis.,"Introduction to Linear Regression Analysis.

Preface. Introduction. Simple Linear Regression. Multiple Model Adequacy Checking. Transformations and Weighting to Correct Inadequacies. Diagnostics for Leverage Influence. Polynomial Regression Models. Indicator Variables. Variable Selection Building. Multicollinearity. Robust Introduction Nonlinear Generalized Other Topics in the Use of Analysis. Validation Appendix A. Statistical Tables. B. Data Sets Exercises. C. Supplemental Technical Material. References. Index.

estimation theory, high-dimensional statistics, econometrics, statistical methodology, econometric method, matrix analysis, statistical inference, machine learning, applied mathematics, biostatistics, regression analysis, statistics, statistical theory, machine learning research, economic analysis, regression testing",1993,5630,estimation theory|high-dimensional statistics|econometrics|statistical methodology|econometric method|matrix analysis|statistical inference|machine learning|applied mathematics|biostatistics|regression analysis|statistics|statistical theory|machine learning research|economic analysis|regression testing,
https://openalex.org/W2119538357,The New Second Generation: Segmented Assimilation and its Variants,"The New Second Generation: Segmented Assimilation and its Variants

Post-1965 immigration to the United States has given rise a vigorous literature focused on adult newcomers. There is, however, growing new second generation whose prospects of adaptation cannot be gleaned from experience their parents or that children European immigrants arriving at turn century. We present data contemporary and review challenges it confronts in seeking American society. The concept segmented assimilation is introduced describe diverse possible outcomes this process adaptation. modes incorporation used for developing typology vulnerability resources affecting such outcomes. Empirical case studies illustrate theory highlight consequences different contextual situations facing today's generation.

data science, data assimilation, deep learning, machine learning",1993,4586,data science|data assimilation|deep learning|machine learning,
https://openalex.org/W1535110649,Interpreting Qualitative Data,"Interpreting Qualitative Data

Part I: Theory and Method in Qualitative Research What Is Research? Designing a Project Generalizing from Case Study Credible Data Analysis Ethics II: Methods Interviews Focus Groups Ethnography Documents Naturally Occurring Talk Visual Images III: Implications Writing Your Report The Relevance of Potential Research: Eight Reminders

survey methodology, qualitative analysis, qualitative research, social science research, interpretation, content analysis, social science, data science, social data analysis, statistical inference, qualitative reasoning, statistics, machine learning research, qualitative data, qualitative method, quantitative science study, statistical methodology, qualitative interpretation, ethnographic theory",1993,3604,survey methodology|qualitative analysis|qualitative research|social science research|interpretation|content analysis|social science|data science|social data analysis|statistical inference|qualitative reasoning|statistics|machine learning research|qualitative data|qualitative method|quantitative science study|statistical methodology|qualitative interpretation|ethnographic theory,
https://openalex.org/W1585743408,Multi-Interval Discretization of Continuous-Valued Attributes for Classification Learning,"Multi-Interval Discretization of Continuous-Valued Attributes for Classification Learning

Since most real-world applications of classification learning involve continuous-valued attributes, properly addressing the discretization process is an important problem. This paper addresses use entropy minimization heuristic for discretizing range a attribute into multiple intervals.

computer science, multi-interval discretization, classification learning, machine learning, continuous-valued attributes",1993,2776,computer science|multi-interval discretization|classification learning|machine learning|continuous-valued attributes,
https://openalex.org/W2165389751,A Neural System for Error Detection and Compensation,"A Neural System for Error Detection and Compensation

Humans can monitor actions and compensate for errors. Analysis of the human event-related brain potentials (ERPs) accompanying errors provides evidence a neural process whose activity is specifically associated with monitoring compensating erroneous behavior. This error-related enhanced when subjects strive accurate performance but diminished response speed emphasized at expense accuracy. The also related to attempts

computer science, neural system, machine learning, neural computation, error detection, deep learning, neural network (machine learning), neural mechanism",1993,2734,computer science|neural system|machine learning|neural computation|error detection|deep learning|neural network (machine learning)|neural mechanism,
https://openalex.org/W2129476886,Discriminant Analysis and Statistical Pattern Recognition.,"Discriminant Analysis and Statistical Pattern Recognition.

Provides a systematic account of the subject area, concentrating on most recent advances in field. While focus is practical considerations, both theoretical and issues are explored. Among covered are: regularized discriminant analysis bootstrap-based assessment performance sample-based rule extensions motivated by problems statistical image analysis. Includes over 1,200 references bibliography.

statistical pattern recognition, pattern recognition, biostatistics, high-dimensional statistics, statistics, bayesian analysis, statistical inference, independent component analysis, principal component analysis, computer science, discriminant analysis, machine learning, machine learning research, biometrics",1993,2720,statistical pattern recognition|pattern recognition|biostatistics|high-dimensional statistics|statistics|bayesian analysis|statistical inference|independent component analysis|principal component analysis|computer science|discriminant analysis|machine learning|machine learning research|biometrics,
https://openalex.org/W2099838434,The Lens Opacities Classification System III,"The Lens Opacities Classification System III

To develop the Lens Opacities Classification System III (LOCS III) to overcome limitations inherent in lens classification using LOCS II. These include unequal intervals between standards, only one standard for color grading, use of integer and wide 95% tolerance limits.The contains an expanded set standards that were selected from Longitudinal Study Cataract slide library at Center Clinical Research, Boston, Mass. It consists six slit-lamp images grading nuclear (NC) opalescence (NO), five retroillumination cortical cataract (C), posterior subcapsular (P) cataract. severity is graded on a decimal scale, have regularly spaced scale. The limits are reduced 2.0 each class with II 0.7 opalescence, color, 0.5 cataract, 1.0 III, excellent interobserver agreement.The improved system age-related

image analysis, pattern recognition, optical image recognition, computer vision, localization, image representation, machine learning research, earth science, digital image processing",1993,2647,image analysis|pattern recognition|optical image recognition|computer vision|localization|image representation|machine learning research|earth science|digital image processing,
https://openalex.org/W1566585837,Qualitative Data Analysis: A User Friendly Guide for Social Scientists,"Qualitative Data Analysis: A User Friendly Guide for Social Scientists

From the Publisher:
Qualitative Data Analysis shows that learning how to analyse qualitative data by computer can be fun. Written in a stimulating style, with examples drawn mainly from every day life and contemporary humour, it should appeal wide audience.

methodology comparison, machine learning, survey methodology, mixed-methods research, computational social science, qualitative analysis, qualitative research, social science research, quantitative social science research, social science, data science, user friendly guide, social data analysis, statistics, analytics, social scientists, quantitative science study, qualitative data analysis, statistical methodology",1993,2537,methodology comparison|machine learning|survey methodology|mixed-methods research|computational social science|qualitative analysis|qualitative research|social science research|quantitative social science research|social science|data science|user friendly guide|social data analysis|statistics|analytics|social scientists|quantitative science study|qualitative data analysis|statistical methodology,
