id,title,content,year,cited_by_count,keywords,children
https://openalex.org/W2250539671,Glove: Global Vectors for Word Representation,"Glove: Global Vectors for Word Representation

Recent methods for learning vector space representations of words have succeeded in capturing fine-grained semantic and syntactic regularities using arithmetic, but the origin these has remained opaque. We analyze make explicit model properties needed such to emerge word vectors. The result is a new global logbilinear regression that combines advantages two major families literature: matrix factorization local context window methods. Our efficiently leverages statistical information by training only on nonzero elements word-word cooccurrence matrix, rather than entire sparse or individual windows large corpus. produces with meaningful substructure, as evidenced its performance 75% recent analogy task. It also outperforms related models similarity tasks named entity recognition.

word embeddings, language resource, computer science, linguistics, computational linguistics, semantic representation, information fusion, language, semantic evaluation, vector space model, word representation, image representation, machine translation, language model, global vectors, deep learning, distributional semantics, text mining, natural language processing, large language model",2014,29891,word embeddings|language resource|computer science|linguistics|computational linguistics|semantic representation|information fusion|language|semantic evaluation|vector space model|word representation|image representation|machine translation|language model|global vectors|deep learning|distributional semantics|text mining|natural language processing|large language model,https://openalex.org/W2896457183|https://openalex.org/W2962739339|https://openalex.org/W2970641574|https://openalex.org/W2911489562|https://openalex.org/W2996428491|https://openalex.org/W3035390927|https://openalex.org/W1840435438|https://openalex.org/W2884001105|https://openalex.org/W2893425640|https://openalex.org/W2963918774|https://openalex.org/W2562607067|https://openalex.org/W3030163527|https://openalex.org/W2963625095|https://openalex.org/W2787560479|https://openalex.org/W2517194566|https://openalex.org/W2936695845|https://openalex.org/W2964236337|https://openalex.org/W2250966211|https://openalex.org/W2413794162|https://openalex.org/W2963969878|https://openalex.org/W2612675303|https://openalex.org/W2742947407|https://openalex.org/W2972324944|https://openalex.org/W3105625590|https://openalex.org/W3019166713|https://openalex.org/W3105966348|https://openalex.org/W2953356739|https://openalex.org/W3185341429|https://openalex.org/W2251135946|https://openalex.org/W2880875857|https://openalex.org/W2964010806|https://openalex.org/W2963042536|https://openalex.org/W2948947170
https://openalex.org/W2896457183,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding

We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers. Unlike recent models, BERT is designed to pre-train deep bidirectional representations unlabeled text by jointly conditioning on both left and right context in all layers. As result, the pre-trained can be fine-tuned with just one additional output layer create state-of-the-art models wide range of tasks, such as question answering inference, without substantial task-specific architecture modifications. conceptually simple empirically powerful. It obtains results eleven natural processing including pushing GLUE score 80.5% (7.7% point absolute improvement), MultiNLI accuracy 86.7% (4.6% SQuAD v1.1 Test F1 93.2 (1.5 improvement) v2.0 83.1 (5.1 improvement).

computer science, language model, natural language processing, language, language engineering, computational linguistics, deep bidirectional transformers, deep learning, machine translation, language understanding",2018,29822,computer science|language model|natural language processing|language|language engineering|computational linguistics|deep bidirectional transformers|deep learning|machine translation|language understanding,https://openalex.org/W2970641574|https://openalex.org/W2979826702|https://openalex.org/W2911489562|https://openalex.org/W2996428491|https://openalex.org/W3035390927|https://openalex.org/W2980282514|https://openalex.org/W2964110616|https://openalex.org/W3170841864|https://openalex.org/W2970771982|https://openalex.org/W2963809228|https://openalex.org/W3036601975|https://openalex.org/W3099700870|https://openalex.org/W2970476646|https://openalex.org/W3098824823|https://openalex.org/W2972324944|https://openalex.org/W3019166713|https://openalex.org/W3105966348|https://openalex.org/W2953356739|https://openalex.org/W3098605233|https://openalex.org/W2948947170
https://openalex.org/W1880262756,Latent dirichlet allocation,"Latent dirichlet allocation

We describe latent Dirichlet allocation (LDA), a generative probabilistic model for collections of discrete data such as text corpora. LDA is three-level hierarchical Bayesian model, in which each item collection modeled finite mixture over an underlying set topics. Each topic is, turn, infinite probabilities. In the context modeling, probabilities provide explicit representation document. present efficient approximate inference techniques based on variational methods and EM algorithm empirical Bayes parameter estimation. report results document classification, collaborative filtering, comparing to unigrams LSI model.

computer science, linguistics, bayesian analysis, automatic summarization, content analysis, information visualization, informetrics, communication, recommender system, content similarity detection, latent dirichlet allocation, keyword extraction, document clustering, text mining, natural language processing, information extraction, clustering, knowledge discovery, information retrieval",2003,26622,computer science|linguistics|bayesian analysis|automatic summarization|content analysis|information visualization|informetrics|communication|recommender system|content similarity detection|latent dirichlet allocation|keyword extraction|document clustering|text mining|natural language processing|information extraction|clustering|knowledge discovery|information retrieval,https://openalex.org/W2174706414|https://openalex.org/W2158266063|https://openalex.org/W2108646579|https://openalex.org/W168564468|https://openalex.org/W2113459411|https://openalex.org/W2095655043|https://openalex.org/W2884001105|https://openalex.org/W2072644219|https://openalex.org/W2158139315|https://openalex.org/W2436001372|https://openalex.org/W2158108973|https://openalex.org/W658020064|https://openalex.org/W2038043464|https://openalex.org/W2098062695|https://openalex.org/W2140124448|https://openalex.org/W2251803266|https://openalex.org/W2165599843|https://openalex.org/W2153848201|https://openalex.org/W2742947407|https://openalex.org/W2130339025|https://openalex.org/W71795751|https://openalex.org/W2250879510|https://openalex.org/W2740168486|https://openalex.org/W2334889010|https://openalex.org/W1714665356|https://openalex.org/W2888482885|https://openalex.org/W2108420397
https://openalex.org/W1536680647,Fast R-CNN,"Fast R-CNN

This paper proposes a Fast Region-based Convolutional Network method (Fast R-CNN) for object detection. R-CNN builds on previous work to efficiently classify proposals using deep convolutional networks. Compared work, employs several innovations improve training and testing speed while also increasing detection accuracy. trains the very VGG16 network 9x faster than R-CNN, is 213x at test-time, achieves higher mAP PASCAL VOC 2012. SPPnet, 3x faster, tests 10x more accurate. implemented in Python C++ (using Caffe) available under open-source MIT License https://github.com/rbgirshick/fast-rcnn.

computational imaging, machine vision, natural language processing, neural network (machine learning), cognitive science, computer science, recurrent neural network, convolutional neural network, machine learning, deep reinforcement learning, machine learning research, object detection, deep learning, data science, object recognition, image analysis",2015,20208,computational imaging|machine vision|natural language processing|neural network (machine learning)|cognitive science|computer science|recurrent neural network|convolutional neural network|machine learning|deep reinforcement learning|machine learning research|object detection|deep learning|data science|object recognition|image analysis,https://openalex.org/W2277195237|https://openalex.org/W2605982830|https://openalex.org/W2343052201|https://openalex.org/W2963758027
https://openalex.org/W2157331557,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,"Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation

Kyunghyun Cho, Bart van Merriënboer, Caglar Gulcehre, Dzmitry Bahdanau, Fethi Bougares, Holger Schwenk, Yoshua Bengio. Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP). 2014.

knowledge discovery, word embeddings, computer science, recurrent neural network, language model, machine learning research, deep learning, sequence modelling, natural language processing, machine translation, rnn encoder-decoder, language learning, machine learning, linguistics, data science, computational linguistics, statistical machine translation, neural machine translation, convolutional neural network, phrase representations",2014,16242,knowledge discovery|word embeddings|computer science|recurrent neural network|language model|machine learning research|deep learning|sequence modelling|natural language processing|machine translation|rnn encoder-decoder|language learning|machine learning|linguistics|data science|computational linguistics|statistical machine translation|neural machine translation|convolutional neural network|phrase representations,https://openalex.org/W2964308564|https://openalex.org/W1902237438|https://openalex.org/W1514535095|https://openalex.org/W2964199361|https://openalex.org/W2745461083|https://openalex.org/W2884001105|https://openalex.org/W2963216553|https://openalex.org/W2962965405|https://openalex.org/W2327501763|https://openalex.org/W2193413348|https://openalex.org/W2963084599|https://openalex.org/W2550821151|https://openalex.org/W2964236337|https://openalex.org/W2250966211|https://openalex.org/W1527575280|https://openalex.org/W1938755728|https://openalex.org/W2742947407|https://openalex.org/W3019166713|https://openalex.org/W3098605233|https://openalex.org/W2962826786|https://openalex.org/W2963042536|https://openalex.org/W2963963856|https://openalex.org/W2962706528
https://openalex.org/W2964308564,Neural Machine Translation by Jointly Learning to Align and Translate,"Neural Machine Translation by Jointly Learning to Align and Translate

Abstract: Neural machine translation is a recently proposed approach to translation. Unlike the traditional statistical translation, neural aims at building single network that can be jointly tuned maximize performance. The models for often belong family of encoder-decoders and consists an encoder encodes source sentence into fixed-length vector from which decoder generates In this paper, we conjecture use bottleneck in improving performance basic encoder-decoder architecture, propose extend by allowing model automatically (soft-)search parts are relevant predicting target word, without having form these as hard segment explicitly. With new approach, achieve comparable existing state-of-the-art phrase-based system on task English-to-French Furthermore, qualitative analysis reveals (soft-)alignments found agree well with our intuition.

computer science, linguistics, transfer learning, natural language processing, language, neural machine translation, machine learning, neural computation, computational intelligence, deep learning, machine learning research, machine translation, neural network (machine learning), computer-assisted translation",2015,15258,computer science|linguistics|transfer learning|natural language processing|language|neural machine translation|machine learning|neural computation|computational intelligence|deep learning|machine learning research|machine translation|neural network (machine learning)|computer-assisted translation,https://openalex.org/W2130942839|https://openalex.org/W1902237438|https://openalex.org/W1514535095|https://openalex.org/W2949888546|https://openalex.org/W2606974598|https://openalex.org/W2964110616|https://openalex.org/W2963250244|https://openalex.org/W2884001105|https://openalex.org/W2963216553|https://openalex.org/W1544827683|https://openalex.org/W2962965405|https://openalex.org/W2327501763|https://openalex.org/W2963929190|https://openalex.org/W2562607067|https://openalex.org/W2963809228|https://openalex.org/W2613904329|https://openalex.org/W2963206148|https://openalex.org/W2550553598|https://openalex.org/W2963223306|https://openalex.org/W2517194566|https://openalex.org/W2962883855|https://openalex.org/W2550821151|https://openalex.org/W2723293840|https://openalex.org/W2963966654|https://openalex.org/W1527575280|https://openalex.org/W2413794162|https://openalex.org/W2612675303|https://openalex.org/W1663984431|https://openalex.org/W2951534261|https://openalex.org/W2742947407|https://openalex.org/W2886641317|https://openalex.org/W2972324944|https://openalex.org/W3019166713|https://openalex.org/W2963506925|https://openalex.org/W2938704169|https://openalex.org/W2515462165|https://openalex.org/W2962826786|https://openalex.org/W2963963856|https://openalex.org/W2963167310|https://openalex.org/W2888482885|https://openalex.org/W2963096510
https://openalex.org/W2153579005,Distributed Representations of Words and Phrases and their Compositionality,"Distributed Representations of Words and Phrases and their Compositionality

The recently introduced continuous Skip-gram model is an efficient method for learning high-quality distributed vector representations that capture a large number of precise syntactic and semantic word relationships. In this paper we present several extensions improve both the quality vectors training speed. By subsampling frequent words obtain significant speedup also learn more regular representations. We describe simple alternative to hierarchical softmax called negative sampling.

An inherent limitation their indifference order inability represent idiomatic phrases. For example, meanings Canada Air cannot be easily combined Canada. Motivated by finding phrases in text, show good millions possible.

distributional semantics, word embeddings, natural language processing, distributed learning, distributed representations, cognitive science, semantics, language model, text mining, linguistics, language, representation analysis, semantic representation, computational linguistics",2013,14589,distributional semantics|word embeddings|natural language processing|distributed learning|distributed representations|cognitive science|semantics|language model|text mining|linguistics|language|representation analysis|semantic representation|computational linguistics,https://openalex.org/W2250539671|https://openalex.org/W2896457183|https://openalex.org/W2157331557|https://openalex.org/W1832693441|https://openalex.org/W2962739339|https://openalex.org/W2493916176|https://openalex.org/W2950635152|https://openalex.org/W2911489562|https://openalex.org/W2296283641|https://openalex.org/W2996428491|https://openalex.org/W3035390927|https://openalex.org/W2963012544|https://openalex.org/W2963026768|https://openalex.org/W2131744502|https://openalex.org/W2884001105|https://openalex.org/W2893425640|https://openalex.org/W2963918774|https://openalex.org/W2562607067|https://openalex.org/W2265846598|https://openalex.org/W2250861254|https://openalex.org/W2963625095|https://openalex.org/W2517194566|https://openalex.org/W2936695845|https://openalex.org/W2125031621|https://openalex.org/W658020064|https://openalex.org/W2250966211|https://openalex.org/W2251803266|https://openalex.org/W2131571251|https://openalex.org/W3105625590|https://openalex.org/W2946417913|https://openalex.org/W3019166713|https://openalex.org/W2250879510|https://openalex.org/W2953356739|https://openalex.org/W2964167098|https://openalex.org/W2880875857|https://openalex.org/W2891177506|https://openalex.org/W2340954483|https://openalex.org/W2963042536|https://openalex.org/W2962706528
https://openalex.org/W1576632330,How to do things with words,"How to do things with words

* Lecture I II III IV V VI VII VIII IX X XI XII

applied linguistics, language grounding, linguistics, natural language processing, speech processing, language, general linguistics, language-based approach, syntax, communication, lexical semantics, language acquisition, semantics, semantic processing, lexicon, narrative, language learning, context (linguistics)",1962,14490,applied linguistics|language grounding|linguistics|natural language processing|speech processing|language|general linguistics|language-based approach|syntax|communication|lexical semantics|language acquisition|semantics|semantic processing|lexicon|narrative|language learning|context (linguistics),https://openalex.org/W2102381086
https://openalex.org/W1614298861,Efficient Estimation of Word Representations in Vector Space,"Efficient Estimation of Word Representations in Vector Space

We propose two novel model architectures for computing continuous vector representations of words from very large data sets. The quality these is measured in a word similarity task, and the results are compared to previously best performing techniques based on different types neural networks. observe improvements accuracy at much lower computational cost, i.e. it takes less than day learn high vectors 1.6 billion set. Furthermore, we show that provide state-of-the-art performance our test set measuring syntactic semantic similarities.

word representations, natural language processing, computer science, efficient estimation, vector space",2013,14484,word representations|natural language processing|computer science|efficient estimation|vector space,https://openalex.org/W2250539671|https://openalex.org/W2153579005|https://openalex.org/W3034999214|https://openalex.org/W2296283641|https://openalex.org/W2963626623|https://openalex.org/W2884001105|https://openalex.org/W2561715562|https://openalex.org/W2125031621|https://openalex.org/W1527575280|https://openalex.org/W1938755728|https://openalex.org/W2251803266|https://openalex.org/W3105625590|https://openalex.org/W3019166713|https://openalex.org/W2740168486|https://openalex.org/W2170738476|https://openalex.org/W2251135946|https://openalex.org/W2252215182|https://openalex.org/W2340954483|https://openalex.org/W2963042536
https://openalex.org/W2130942839,Sequence to Sequence Learning with Neural Networks,"Sequence to Sequence Learning with Neural Networks

Deep Neural Networks (DNNs) are powerful models that have achieved excellent performance on difficult learning tasks. Although DNNs work well whenever large labeled training sets available, they cannot be used to map sequences sequences. In this paper, we present a general end-to-end approach sequence makes minimal assumptions the structure. Our method uses multilayered Long Short-Term Memory (LSTM) input vector of fixed dimensionality, and then another deep LSTM decode target from vector. main result is an English French translation task WMT'14 dataset, translations produced by achieve BLEU score 34.8 entire test set, where LSTM's was penalized out-of-vocabulary words. Additionally, did not difficulty long sentences. For comparison, phrase-based SMT system achieves 33.3 same dataset. When rerank 1000 hypotheses aforementioned system, its increases 36.5, which close previous best task. The also learned sensible phrase sentence representations sensitive word order relatively invariant active passive voice. Finally, found reversing words in all source sentences (but sentences) improved markedly, because doing so introduced many short term dependencies between made optimization problem easier.

neural networks, knowledge discovery, sparse neural network, neural network (machine learning), sequential learning, computer science, recurrent neural network, deep reinforcement learning, machine learning research, deep learning, sequence modelling, machine vision, natural language processing, natural language generation, machine learning, data science, neural computation, cognitive science, computational intelligence",2014,12686,neural networks|knowledge discovery|sparse neural network|neural network (machine learning)|sequential learning|computer science|recurrent neural network|deep reinforcement learning|machine learning research|deep learning|sequence modelling|machine vision|natural language processing|natural language generation|machine learning|data science|neural computation|cognitive science|computational intelligence,https://openalex.org/W1902237438|https://openalex.org/W1514535095|https://openalex.org/W2964199361|https://openalex.org/W2950178297|https://openalex.org/W2606974598|https://openalex.org/W2884001105|https://openalex.org/W2963216553|https://openalex.org/W2962965405|https://openalex.org/W2327501763|https://openalex.org/W2963918774|https://openalex.org/W2963206148|https://openalex.org/W2963223306|https://openalex.org/W2550821151|https://openalex.org/W1591706642|https://openalex.org/W2250966211|https://openalex.org/W1527575280|https://openalex.org/W1938755728|https://openalex.org/W2139501017|https://openalex.org/W1663984431|https://openalex.org/W2886641317|https://openalex.org/W3105625590|https://openalex.org/W3019166713|https://openalex.org/W3098605233|https://openalex.org/W2880875857|https://openalex.org/W2515462165|https://openalex.org/W2962826786|https://openalex.org/W2963042536|https://openalex.org/W2963963856|https://openalex.org/W2962706528|https://openalex.org/W2963167310|https://openalex.org/W2963096510
